id_number,family_code​,family,macroarea,iso,language,included,form,source,pages,comment,example,example_source,example_page,morphosynt_type,morphosynt_type_as_in_source,non_emphatic,non_emphatic_comment,other_uses,other_uses_comment,meaning_with_negation,meaning_with_negation_comment,maturation
41,atla1278,Atlantic-Congo (> Volta-Congo > Gur),Africa,dgi,Northern Dagara,yes,cãa,mwinlaaru2017,81,check other grammars,dagara.png,mwinlaaru2017,328,auxiliary,catenative verb (verb with an auxiliary status),no,,,,,,auxiliary / affix
42,atla1278,Atlantic-Congo (> Volta-Congo > East Bantu > Corridor Bantu),Africa,nyy,Nyakyusa-Ngonde,yes,kaalɪ,persohn2017,186-190,both progressive and habitual/generic readings,nyakyusa.png,persohn2017,186,auxiliary,auxiliary,no,"p. 187 ""if it had ripened yet or not"", p. 188 ""‘They [the bananas] are still not ripe""",before,before (while yet),not yet (still not),"still not, ex. 4, counter-expectation semantics","auxiliary / affix, non-continuative meanings"
43,atla1278,Atlantic-Congo (> Volta-Congo > East Bantu > Southern Bantu-Makua),Africa,zul,Zulu,yes,sa-,canonici1995,101-102,"possible with present, past, future, stative",zulu.png,ziervogel1976,91,affix,aspectual prefix,no,not OCRed,"just, for a while","just, for a while, for a short time",no longer,"Canonici 1995: 102, Ziervogel et al. 1976: 91","auxiliary / affix, no longer, non-continuative meanings"
44,atla1278,Atlantic-Congo (> Volta-Congo > Central-Western Bantu),Africa,yns,Yansi,yes,-binde-,mayanga1985,111,see also prefix ka- + aa (borrowing?),yansi.png,mayanga1985,111,affix,la particule placée comme infix,no,not OCRed,,,,,auxiliary / affix
45,afro1255,Afro-Asiatic (> Semitic),Africa,apc,North Levantine Arabic,yes,baʿda,bruweleit2015,97-101,"possible with atelic, stative, multiplicative (=""complex"") predicates + telic (only resultative meaning)",arabic.png,versteegh2018,246,adverb/particle,cop + particle + affix,no,,,,,,no mature features
46,afro1255,Afro-Asiatic (> Berber),Africa,gho,Ghomara,yes,baqi / baqqa / baqin,mourigh2015,293,"""indicates that the event is still relevant in the present""",ghomara.png,mourigh2015,370,adverb/particle,adverb,no,"p. 208 ""still small""",,,not yet (still not),"still not, ex. 11 (p. 355)",no mature features
47,afro1255,Afro-Asiatic (> Chadic),Africa,bhs,Buwal,yes,wár,viljoen2013,205,seems to have some modal meaning and some special syntactic (linking) function. Almost all examples are a bit strange. See also Viljoen 2015: 70-71.,buwal.png,viljoen2013,615,adverb/particle,"linking adverb, clausal adverb",no,,,clausal linker (?),not yet (still not),"still not, ex. 3.132b (p. 202)",no mature features
48,afro1255,Afro-Asiatic (> Cushitic),Africa,ktb,Kambaata,yes,tées-u,treis2008,193,now-obl; the main meaning is now,kambaata.png,treis2008,193,adverb/particle,adverbial noun,no,"p. 194 ""still alive""","now, just a moment ago, in a moment, immediately, already, again",,not yet (still not),"""In negative contexts teesúu invites the translation ‘still not’."" (Treis 2021: 324) but also see no longer in the example 597, p. 193","no longer, non-continuative meanings"
49,afro1255,Afro-Asiatic (> Egyptian),Africa,cop,Coptic,yes2,on,elanskaya2010,170,the main meaning is again,coptic.png,layton2004,384,adverb/particle,наречие,no,"too many examples, not all checked",again,"снова, опять, опять-таки",,,no mature features
50,afro1255,Afro-Asiatic (> Egyptian),Africa,cop,Coptic,yes,еti,elanskaya2010,248,"a Greek borrowing et(e)i, which predominantly functions as a syntactic linker (cf. Chadic), p. 248, 424. ""может также выступать в качестве частицы «даже» и иногда употребляется в переводах греческих текстов, подкрепляясь коптским местоимением ke «и (даже)»""",coptic2.png,elanskaya2010,424,adverb/particle,наречие,no,"p. 424 ""still dark"", bible while-examples - p. 424",even,даже,,,non-continuative meanings
51,mand1469,Mande,Africa,ggu,Gban,yes,lé‶,fedotov2015,1-29,"""предикативный показатель""; both progressive and habitual/generic (in combination with contingent state) readings",gban.png,fedotov2015,4,not_clear,predicative marker,no,,"progressive, for now, for a while, barely, nevertheless","progressive, contingent state, (with perfective - for a while), un peu, все-таки (with perfective)",not yet (still not),"not yet, counter-expectation semantics",non-continuative meanings
52,mand1469,Mande,Africa,ggu,Gban,yes2,gɔ ̰ ,fedotov2015,5,глагол ‘оставаться; продолжать [делать P]’,gban2.png,fedotov2015,5,auxiliary,auxiliary,no,,,,,,auxiliary / affix
53,cent2225,Central Sudanic,Africa,mhi,Ma'di,yes,ɔlʊ,blackingsfabb2003,246-250,"verb 'stay'; in the Bible there is also a marker driso - probably, based on dri 'then, now'; ""takes as its complement a sentence with a nonverbal predicate"", see ex. 188-189 for still in past",madi.png,blackingsfabb2003,247,auxiliary,verb taking as its complement a sentence with a nonverbal predicate and a missing subject,no,,"future, stay","inflected form expresses future tense, lexical verb 'stay'",no longer,see ex. 175 ((b) 'Opi is not a teacher still.' (has ceased to be a teacher)),"auxiliary / affix, no longer, non-continuative meanings"
54,cent2225,Central Sudanic,Africa,mhi,Ma'di,yes2,adɨ,blackings2000,10,"?? in the dictionary is defined as a pronoun ""it is being or will then be done""",madi2.png,blackingsfabb2003,495,adverb/particle,adverb,no,,,,,,
55,nilo1247,Nilotic,Africa,tuv,Turkana,yes,ɛ-riŋ-a_e-rok-o,dimmendaal1983,137-138,"""expression of unexpected state of affairs""; all examples are with the verb 'to be'",turkana.png,dimmendaal1983,138,auxiliary,auxiliary,no,not OCRed,"before, nevertheless","before (e.g. before tomorrow, p. 360), + neg = before (while not yet) - section 9.2.7.2, counter-expectation",no longer / not yet (still not),"""when the element itself is negated, and the second verb form occurs in the affirmative, the former indicates 'no longer'. When the initial form occurs in the affirmative and the following verb is negated, the construction as a whole indicates 'not yet', see also 9.2.7.2-9.2.7.3","auxiliary / affix, no longer, non-continuative meanings"
56,nilo1247,Nilotic,Africa,lpx,Lopit,no,la-,moodiebillington2020,226-227,"can't find the pdf https://brill.com/view/title/57490; ""It can be used with both activity and stative verbs and can be used with both imperfective and neutral aspect"" (Moodie 2019: 17)",lopit.png,moodiebillington2020,227,affix,persistive prefix,,,no longer,no longer when used with neutral aspect (Moodie 2019: 157); while (Moodie 2019: 275),no longer / not yet (still not),"no longer with special persistive negative auxiliary (Moodie 2019: 234); not yet in the lexicalized deverbal expression /ɛ̀-lɛ́-xɪ̀-ɲà/, ‘3-PER-PFV-not.be’ (Moodie 2019: 238)",
57,dogo1299,Dogon,Africa,nzz,Nanga,yes,níŋay yŋà,heath2016,226,instrumental PP from níŋeyⁿ ‘now’.,nanga.png,heath2016,226,adverb/particle,PP,no,,up to now,up to now,not yet (still not),not yet,non-continuative meanings
58,khoe1240,Khoe-Kwadi,Africa,tsix1234 (glottocode),Ts'ixa,yes,xàwèè,fehn2014,193,,tsixa.png,fehn2014,193,adverb/particle,adverb,no,,,+ neg = before (while not yet),not yet (still not),"not yet, see ex. 432",no mature features
59,nubi1251,Nubian,Africa,kzh,Kenuzi-Dongola,yes,ɛlgon / ólgon,armbruster1960,"412, 415",many examples in other sections of the grammar,dongolese.png,armbruster1960,412,adverb/particle,adverb,no,,,before (p. 399),not yet (still not),"not yet, cf. paragraph 5996",no mature features
60,song1307,Songhay,Africa,dsq,Tadaksahak,yes,ʃeddí ~ ceddí,сhristiansen2010,243,described only with negation as not yet,tadaksahak.png,сhristiansen2010,217,adverb/particle,particle,no,,while,while,not yet (still not),"not yet, p. 243",non-continuative meanings
61,dizo1235,Dizoid,Africa,she,Sheko,yes,kàtʃā,hellenthal2010,231,the first meaning is already,sheko.png,hellenthal2010,286,adverb/particle,adverb,no,,already,already,not yet (still not),"not yet, see ex. 5 (p. 418)",non-continuative meanings
62,tuuu1241,Tuu,Africa,xeg,//Xegwi,no,so-,lanhamhallowes1956,114,borrowing from Bantu,xegwi.png,lanhamhallowes1956,114,affix,prefix,,,,,,,
63,kuli1252,Kuliak,Africa,ikx,Ik,no,sár-,schrock2014,485-486,"possible borrowing from Turkana ""And the verb sár- is functionally quite similar to the Turkana auxiliary -rok- which Dimmendaal calls the “auxiliary of unexpected state of affairs” in the affirmative (1983:138) and the “unexpected negative perfective” in the negative (1983:457)."" Maybe this is a contact influnce because Turkana is spoken almost in the same place",ik.png,schrock2014,264,auxiliary,auxiliary,,,not yet,not yet in standalone answers,,"not yet, see ex. 155 (p. 369)",
64,narr1279,Narrow Talodi,Africa,dec,Dagik,no,ðəl:ɛ,vanderelst2016,214,derived from the adjective j-əl:ɛ 'alone',dagik.png,vanderelst2016,214,adverb/particle,adverb,,,,,,,
65,gong1255,Ta-Ne-Omotic,Africa,bcq,Bench,no,gāts,rapold2006,437,,bench.png,rapold2006,158,adverb/particle,adverb,,,,,not yet (still not),"not yet, see ex. 268",
66,koma1264,Koman,Africa,xom,Komo (Sudan-Ethiopia),no,"wátá, ʔòtà",negash2014,"108, 139, 167, 204",can't find examples without negation; there is also an Arabic borrowing - lisa 'still',komo.png,negash2014,204,adverb/particle,adverb,,,,+ neg = before (while not yet),,"not still / still not (?), hard to interpret",
67,surm1244,Surmic,Africa,mur,Murle,no,"ŋan, ŋani",lyth1971,41,"can't find any examples, see also dictionary",murle.png,lyth1971,41,adverb/particle,adverb,,,,,not yet (still not),not yet,
68,otom1299,Otomanguean (> Eastern Otomanguean),North America,zai,Isthmus Zapotec,yes,ru,pickettetal2001; pickett2007,80; 115,"in the dictionary a separate word, in examples from grammar - affix",zapotec.png,pickettetal2001,80,adverb/particle,la partícula,no,,,,,ca’ru’ - todavía no but the meaning of the ca' element is not clear,no mature features
69,otom1299,Otomanguean (> Eastern Otomanguean),North America,zai,Isthmus Zapotec,yes2,de_yanna,pickett2007,"44, 97","todavía, hasta ahora (~ until now)",zapotec2.png,pickett2007,97,not_clear,not sure,no,,,,,,
70,otom1299,Otomanguean (> Western Otomanguean),North America,otq,Querétaro Otomi,yes,to’be,palancar2009,363-364,there is also a borrowing todabia ‘todavía’ with different position properties,otomi.png,palancar2009,363,adverb/particle,adverbios topicalizados,no,"p. 304 ""todavía éramos pequeñas apenas"" (still small), p. 93 ""El chico está todavía pequeño"" (""still small"")",,,not yet (still not),"not yet, see ex. 3a (p. 171)",no mature features
71,utoa1244,Uto-Aztecan,North America,nhn,Tlaxcala-Puebla-Central Nahuatl,yes,ok=,nájera2019,"224, 300","is not combined with focus; 'otro', 'otros', 'más', 'neuvamente', 'no todavìa' are derived from ok= 'aún'; ""ocurren con predicados verbales y no verbales""",nahuatl.png,nájera2019,224,adverb/particle,la partícula aspectual,no,"p. 540 ""que aun  estas chiquitas"" (still small)",,,,,no mature features
72,algi1248,Algic,North America,moe,Montagnais,yes,eshku,oxford2007,187,,montagnais.png,oxford2007,209,adverb/particle,the continuative aspect adverb,no,,wait,"+ neg = before, wait a bit (p. 297)",,,non-continuative meanings
73,atha1245,Athabaskan-Eyak-Tlingit (> Tlingit),North America,tli,Tlingit,yes,tsu,crippen2008,224-225,"there is also a similarly looking particle tsú 'also', 'as well', 'too' with different position properties",tlingit.png,crippen2008,225,adverb/particle,mobile particle,no,,"more, again","more, again",,,no mature features
74,atha1245,Athabaskan-Eyak-Tlingit (> Athabaskan),North America,nav,Navajo,yes,t'ahdii,youngmorgan1987,13,see a glossed example with t'ahdii in Smith et al. 2007,navajo.png,youngmorgan1987,13,adverb/particle,adverb,no,not OCRed,,,,,no mature features
75,atha1245,Athabaskan-Eyak-Tlingit (> Athabaskan),North America,nav,Navajo,yes2,t'ah,youngmorgan1987,13,,navajo2.png,youngmorgan1987,13,adverb/particle,adverb,no,not OCRed,,,,,no mature features
76,maya1287,Mayan,North America,yua,Yucatec Maya,yes,láailiʼ ...-eʼ,bohnemeyer2001,394-396,is not sensitive to interuptions at TT but I don't like the example; works similarly to correlative constructions; possible with statives and verbs in progressive; diachronic source - emphatic particle (~ just),maya.png,bohnemeyer2001,394,adverb/particle,adverb + clause final particle expressing textual deixis,no,,,,,,no mature features
77,maya1287,Mayan,North America,yua,Yucatec Maya,yes2,sèegir,bohnemeyer2001,349-350,borrowing from Spanish,maya2.png,bohnemeyer2001,350,auxiliary,phase verb,no,,,,,,auxiliary / affix
78,sali1255,Salishan,North America,lut,Northern Lushootseed,yes,uʔxʷ,zahir2018,139-140,many examples throughout the paper,lushootseed.png,zahir2018,140,not_clear,adverb often written as an enclitic,no,,,,,,no mature features
79,mixe1284,Mixe-Zoque,North America,poi,Highland Popoluca,yes,nam,boudreault2009,"148, 323-324",,popoluca.png,boudreault2009	323-324,323,adverb/particle,adverbial enclitic,no,"p. 148 ""still small"", p. 241 ""still a little girl""",,,not yet (still not),not yet / still not,no mature features
80,siou1252,Siouan,North America,lkt,Lakota,yes,-akhe,ullrich2018,190,"secondary predicate, not productive - 5 stative verbs and 1 active ('live')",lakota.png,ullrich2018,277,affix,suffix,yes,"p. 190 ""while still fresh"", ""while it is still dawn"", ""while still alive""",while,while,,,"auxiliary / affix, non-continuative meanings, non-emphatic"
81,siou1252,Siouan,North America,lkt,Lakota,yes2,héčhena,ingham2001,233,,lakota2.png,ullrich2018,278,adverb/particle,adverb,no,"p. 278 ""still alive"" (héčhena)",nevertheless,nevertheless (héčhena),,,non-continuative meanings
82,eski1264,Eskimo-Aleut,North America,esu,Central Alaskan Yupik,yes,-gur,miyaoka2012,"989, 1232",there is also a suffix -ma 'being sometime',yupik.png,miyaoka2012,1232,affix,affix,no,,"constantly, always","constantly, always",,there is a dedicated not yet suffix -ksaic,"auxiliary / affix, non-continuative meanings"
83,eski1264,Eskimo-Aleut,North America,esu,Central Alaskan Yupik,yes2,cali,miyaoka2012,922,"in most examples has the meaning ""and, also""",yupik2.png,miyaoka2012,922,adverb/particle,adverb,no,,"more, again, and, also","more, (not) yet, again; and, also (conjunctional)",,"(not) yet, see p. 1535 but no good examples",
84,toto1251,Totonacan,North America,tee,Huehuetla Tepehua,yes,-ka7,watters1988; kung2007,373-375; 467-469,watters is about another Tepehua,tepehua.png,kung2007,468,adverb/particle,clitic,not clear,"ex. 644 a-b still girl = 'unmarried (young) woman', still boy = 'unmarried (young) boy'; p. 634 'the cows were (still) little'","just, barely","just, barely (with perfective aspect)",not yet (still not),not yet / still not,non-continuative meanings
85,coch1271,Cochimi-Yuman,North America,dih,Tipai,yes,xkiiway,miller2001,292-293,"""indicates that the subject has for some time been engaged in the activity or state denoted by the main verb and continues to be thus engaged""",tipai.png,miller2001,293,auxiliary,perseverative auxiliary,no,,same,"as a lexical verb 'be unchanged, be the same'",,,"auxiliary / affix, non-continuative meanings"
86,iroq1247,Iroquoian,North America,chr,Cherokee,yes,si,montgomery2008,540,"no special description, in almost all examples means 'before'",cherokee.png,montgomery2008,564,adverb/particle,adverb,no,,before,before,not yet (still not),"still not, tla-si, see ex. 39c (p. 185)",non-continuative meanings
87,miwo1274,Miwok-Costanoan,North America,css,Mutsun,yes,hemmen,okrand1977,302-303,,ohlone.png,okrand1977,303,adverb/particle,temporal particle,no,,,,,,no mature features
88,kiow1265,Kiowa-Tanoan,North America,tow,Towa,yes,ql (hhal),yumitani1998,247,see also text examples in sprott1992,towa.png,yumitani1998,247,adverb/particle,modal particle,no,"p. 266 (sprott1992) ""still a child"", ""still a boy"" (see also Bible examples with still=while)","also, while","also (yumitani1998), while (sprott1992, p. 280)",,,non-continuative meanings
89,musk1252,Muskogean,North America,mus,Creek,yes,-i: (i)mônk-,martin2011,306-307,,creek.png,martin2011,306,auxiliary,auxiliary,no,"p. 321 ""still dark""","before, while","before, while",,,"auxiliary / affix, non-continuative meanings"
90,musk1252,Muskogean,North America,mus,Creek,yes2,hatí,martin2011,150,,creek2.png,martin2011,150,adverb/particle,"adverbial noun, never case-marked",no,"p. 150 ""still small""",just,just (p. 124),,,non-continuative meanings
91,waka1280,Wakashan,North America,nuk,Nuu-chah-nulth,yes,ʔi'qhi',davidson2002,106,,nuu-chah-nulth.png,davidson2002,236,adverb/particle,"predicate modifier, adverb-like modifier",no,"p. 236 ""still dark""",,,,,no mature features
